"parent_id","state_id","province_id","distrito_id","id","country_id","name","code","create_uid","create_date","write_uid","write_date","state_id-2","province_id-2"
NULL,"state_pe_01",NULL,NULL,1146,173,"Amazonas","01",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_02",NULL,NULL,1147,173,"Áncash","02",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_03",NULL,NULL,1148,173,"Apurímac","03",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_04",NULL,NULL,1149,173,"Arequipa","04",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_05",NULL,NULL,1150,173,"Ayacucho","05",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_06",NULL,NULL,1151,173,"Cajamarca","06",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_07",NULL,NULL,1152,173,"Callao","07",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_08",NULL,NULL,1153,173,"Cusco","08",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_09",NULL,NULL,1154,173,"Huancavelica","09",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_10",NULL,NULL,1155,173,"Huánuco","10",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_11",NULL,NULL,1156,173,"Ica","11",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_12",NULL,NULL,1157,173,"Junin","12",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_13",NULL,NULL,1158,173,"La Libertad","13",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_14",NULL,NULL,1159,173,"Lambayeque","14",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_15",NULL,NULL,1160,173,"Lima","15",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_16",NULL,NULL,1161,173,"Loreto","16",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_17",NULL,NULL,1162,173,"Madre de Dios","17",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_18",NULL,NULL,1163,173,"Moquegua","18",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_19",NULL,NULL,1164,173,"Pasco","19",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_20",NULL,NULL,1165,173,"Piura","20",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_21",NULL,NULL,1166,173,"Puno","21",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_22",NULL,NULL,1167,173,"San Martín","22",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_23",NULL,NULL,1168,173,"Tacna","23",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_24",NULL,NULL,1169,173,"Tumbes","24",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
NULL,"state_pe_25",NULL,NULL,1170,173,"Ucayali","25",1,"2022-02-03 03:31:07.188614",1,"2022-02-03 03:31:07.188614",NULL,NULL
"state_pe_01","state_pe_01","state_pe_0101",NULL,1384,173,"Chachapoyas","0101",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1146,NULL
"state_pe_02","state_pe_02","state_pe_0207",NULL,1385,173,"Carlos F. Fitzcarrald","0207",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_04","state_pe_04","state_pe_0405",NULL,1386,173,"Caylloma","0405",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1149,NULL
"state_pe_05","state_pe_05","state_pe_0505",NULL,1387,173,"La Mar","0505",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1150,NULL
"state_pe_02","state_pe_02","state_pe_0215",NULL,1388,173,"Pallasca","0215",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_20","state_pe_20","state_pe_2005",NULL,1389,173,"Paita","2005",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1165,NULL
"state_pe_15","state_pe_15","state_pe_1505",NULL,1390,173,"Cañete","1505",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1160,NULL
"state_pe_24","state_pe_24","state_pe_2402",NULL,1391,173,"Contralmirante Villar","2402",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1169,NULL
"state_pe_13","state_pe_13","state_pe_1309",NULL,1392,173,"Sanchez Carrion","1309",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_18","state_pe_18","state_pe_1801",NULL,1393,173,"Mariscal Nieto","1801",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1163,NULL
"state_pe_21","state_pe_21","state_pe_2106",NULL,1394,173,"Huancane","2106",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_08","state_pe_08","state_pe_0801",NULL,1395,173,"Cusco","0801",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1153,NULL
"state_pe_23","state_pe_23","state_pe_2303",NULL,1396,173,"Jorge Basadre","2303",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1168,NULL
"state_pe_13","state_pe_13","state_pe_1301",NULL,1397,173,"Trujillo","1301",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_15","state_pe_15","state_pe_1508",NULL,1398,173,"Huaura","1508",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1160,NULL
"state_pe_08","state_pe_08","state_pe_0806",NULL,1399,173,"Canchis","0806",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1153,NULL
"state_pe_15","state_pe_15","state_pe_1503",NULL,1400,173,"Cajatambo","1503",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1160,NULL
"state_pe_01","state_pe_01","state_pe_0103",NULL,1401,173,"Bongara","0103",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1146,NULL
"state_pe_02","state_pe_02","state_pe_0208",NULL,1402,173,"Casma","0208",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_17","state_pe_17","state_pe_1703",NULL,1403,173,"Tahuamanu","1703",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1162,NULL
"state_pe_08","state_pe_08","state_pe_0803",NULL,1404,173,"Anta","0803",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1153,NULL
"state_pe_14","state_pe_14","state_pe_1401",NULL,1405,173,"Chiclayo","1401",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1159,NULL
"state_pe_13","state_pe_13","state_pe_1307",NULL,1406,173,"Pacasmayo","1307",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_02","state_pe_02","state_pe_0203",NULL,1407,173,"Antonio Raymondi","0203",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_03","state_pe_03","state_pe_0307",NULL,1408,173,"Grau","0307",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1148,NULL
"state_pe_21","state_pe_21","state_pe_2104",NULL,1409,173,"Chucuito","2104",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_02","state_pe_02","state_pe_0216",NULL,1410,173,"Pomabamba","0216",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_22","state_pe_22","state_pe_2206",NULL,1411,173,"Mariscal Caceres","2206",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
"state_pe_17","state_pe_17","state_pe_1704",NULL,1412,173,"Pto. Maldonado","1704",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1162,NULL
"state_pe_06","state_pe_06","state_pe_0610",NULL,1413,173,"San Marcos","0610",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_06","state_pe_06","state_pe_0606",NULL,1414,173,"Cutervo","0606",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_12","state_pe_12","state_pe_1204",NULL,1415,173,"Jauja","1204",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1157,NULL
"state_pe_06","state_pe_06","state_pe_0604",NULL,1416,173,"Chota","0604",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_16","state_pe_16","state_pe_1607",NULL,1417,173,"Datem Del Marañon","1607",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1161,NULL
"state_pe_10","state_pe_10","state_pe_1005",NULL,1418,173,"Huamalies","1005",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1155,NULL
"state_pe_21","state_pe_21","state_pe_2113",NULL,1419,173,"Yunguyo","2113",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_22","state_pe_22","state_pe_2211",NULL,1420,173,"Tarapoto","2211",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
"state_pe_17","state_pe_17","state_pe_1702",NULL,1421,173,"Manu","1702",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1162,NULL
"state_pe_01","state_pe_01","state_pe_0102",NULL,1422,173,"Bagua","0102",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1146,NULL
"state_pe_05","state_pe_05","state_pe_0504",NULL,1423,173,"Huanta","0504",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1150,NULL
"state_pe_01","state_pe_01","state_pe_0106",NULL,1424,173,"Rodriguez De Mendoza","0106",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1146,NULL
"state_pe_05","state_pe_05","state_pe_0506",NULL,1425,173,"Lucanas","0506",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1150,NULL
"state_pe_22","state_pe_22","state_pe_2203",NULL,1426,173,"El Dorado","2203",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
"state_pe_21","state_pe_21","state_pe_2110",NULL,1427,173,"San Antonio De Putina","2110",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_19","state_pe_19","state_pe_1901",NULL,1428,173,"Pasco","1901",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1164,NULL
"state_pe_05","state_pe_05","state_pe_0502",NULL,1429,173,"Cangallo","0502",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1150,NULL
"state_pe_21","state_pe_21","state_pe_2109",NULL,1430,173,"Moho","2109",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_16","state_pe_16","state_pe_1602",NULL,1431,173,"Alto Amazonas","1602",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1161,NULL
"state_pe_05","state_pe_05","state_pe_0510",NULL,1432,173,"Victor Fajardo","0510",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1150,NULL
"state_pe_05","state_pe_05","state_pe_0509",NULL,1433,173,"Sucre","0509",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1150,NULL
"state_pe_06","state_pe_06","state_pe_0605",NULL,1434,173,"Contumaza","0605",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_16","state_pe_16","state_pe_1606",NULL,1435,173,"Ucayali","1606",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1161,NULL
"state_pe_15","state_pe_15","state_pe_1502",NULL,1436,173,"Barranca","1502",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1160,NULL
"state_pe_20","state_pe_20","state_pe_2006",NULL,1437,173,"Sullana","2006",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1165,NULL
"state_pe_08","state_pe_08","state_pe_0808",NULL,1438,173,"Espinar","0808",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1153,NULL
"state_pe_20","state_pe_20","state_pe_2003",NULL,1439,173,"Huancabamba","2003",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1165,NULL
"state_pe_20","state_pe_20","state_pe_2004",NULL,1440,173,"Morropon","2004",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1165,NULL
"state_pe_11","state_pe_11","state_pe_1105",NULL,1441,173,"Pisco","1105",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1156,NULL
"state_pe_06","state_pe_06","state_pe_0613",NULL,1442,173,"Santa Cruz","0613",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_21","state_pe_21","state_pe_2111",NULL,1443,173,"San Roman","2111",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_10","state_pe_10","state_pe_1009",NULL,1444,173,"Puerto Inca","1009",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1155,NULL
"state_pe_04","state_pe_04","state_pe_0401",NULL,1445,173,"Arequipa","0401",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1149,NULL
"state_pe_05","state_pe_05","state_pe_0511",NULL,1446,173,"Vilcas Huaman","0511",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1150,NULL
"state_pe_11","state_pe_11","state_pe_1101",NULL,1447,173,"Ica","1101",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1156,NULL
"state_pe_24","state_pe_24","state_pe_2403",NULL,1448,173,"Zarumilla","2403",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1169,NULL
"state_pe_25","state_pe_25","state_pe_2502",NULL,1449,173,"Atalaya","2502",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1170,NULL
"state_pe_16","state_pe_16","state_pe_1605",NULL,1450,173,"Requena","1605",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1161,NULL
"state_pe_03","state_pe_03","state_pe_0306",NULL,1451,173,"Chincheros","0306",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1148,NULL
"state_pe_02","state_pe_02","state_pe_0217",NULL,1452,173,"Recuay","0217",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_12","state_pe_12","state_pe_1209",NULL,1453,173,"Chupaca","1209",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1157,NULL
"state_pe_10","state_pe_10","state_pe_1007",NULL,1454,173,"Marañon","1007",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1155,NULL
"state_pe_11","state_pe_11","state_pe_1104",NULL,1455,173,"Palpa","1104",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1156,NULL
"state_pe_09","state_pe_09","state_pe_0902",NULL,1456,173,"Acobamba","0902",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1154,NULL
"state_pe_12","state_pe_12","state_pe_1202",NULL,1457,173,"Concepcion","1202",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1157,NULL
"state_pe_19","state_pe_19","state_pe_1903",NULL,1458,173,"Oxapampa","1903",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1164,NULL
