"fsm_parent_id","description","state_id","province_id","distrito_id","id","country_id","name","code","create_uid","create_date","write_uid","write_date","state_id-2","province_id-2"
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0203",NULL,1395,173,"Antonio Raymondi","0203",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0204",NULL,1396,173,"Asunción","0204",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0205",NULL,1397,173,"Bolognesi","0205",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0206",NULL,1398,173,"Carhuaz","0206",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0207",NULL,1399,173,"Carlos Fermín Fitzcarrald","0207",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0208",NULL,1400,173,"Casma","0208",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0209",NULL,1401,173,"Corongo","0209",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0210",NULL,1402,173,"Huari","0210",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0211",NULL,1403,173,"Huarmey","0211",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0212",NULL,1404,173,"Huaylas","0212",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0213",NULL,1405,173,"Mariscal Luzuriaga","0213",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0214",NULL,1406,173,"Ocros","0214",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0215",NULL,1407,173,"Pallasca","0215",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0216",NULL,1408,173,"Pomabamba","0216",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0217",NULL,1409,173,"Recuay","0217",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0218",NULL,1410,173,"Santa","0218",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0219",NULL,1411,173,"Sihuas","0219",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
